Minutes5UTC,Minutes5DK,PriceArea,CO2Emission
2019-11-14 22:55,2019-11-14 23:55,DK1,118
2019-11-14 22:55,2019-11-14 23:55,DK2,118
2019-11-14 22:50,2019-11-14 23:50,DK1,134
2019-11-14 22:50,2019-11-14 23:50,DK2,134
2019-11-14 22:45,2019-11-14 23:45,DK2,148
2019-11-14 22:45,2019-11-14 23:45,DK1,148
2019-11-14 22:40,2019-11-14 23:40,DK1,149
2019-11-14 22:40,2019-11-14 23:40,DK2,149
2019-11-14 22:35,2019-11-14 23:35,DK2,150
2019-11-14 22:35,2019-11-14 23:35,DK1,150
2019-11-14 22:30,2019-11-14 23:30,DK1,150
2019-11-14 22:30,2019-11-14 23:30,DK2,150
2019-11-14 22:25,2019-11-14 23:25,DK2,151
2019-11-14 22:25,2019-11-14 23:25,DK1,151
2019-11-14 22:20,2019-11-14 23:20,DK1,151
2019-11-14 22:20,2019-11-14 23:20,DK2,151
2019-11-14 22:15,2019-11-14 23:15,DK1,152
2019-11-14 22:15,2019-11-14 23:15,DK2,152
2019-11-14 22:10,2019-11-14 23:10,DK1,150
2019-11-14 22:10,2019-11-14 23:10,DK2,150
2019-11-14 22:05,2019-11-14 23:05,DK2,150
2019-11-14 22:05,2019-11-14 23:05,DK1,150
2019-11-14 22:00,2019-11-14 23:00,DK2,168
2019-11-14 22:00,2019-11-14 23:00,DK1,168
2019-11-14 21:55,2019-11-14 22:55,DK1,186
2019-11-14 21:55,2019-11-14 22:55,DK2,186
2019-11-14 21:50,2019-11-14 22:50,DK1,182
2019-11-14 21:50,2019-11-14 22:50,DK2,182
2019-11-14 21:45,2019-11-14 22:45,DK1,179
2019-11-14 21:45,2019-11-14 22:45,DK2,179
2019-11-14 21:40,2019-11-14 22:40,DK1,180
2019-11-14 21:40,2019-11-14 22:40,DK2,180
2019-11-14 21:35,2019-11-14 22:35,DK2,180
2019-11-14 21:35,2019-11-14 22:35,DK1,180
2019-11-14 21:30,2019-11-14 22:30,DK2,180
2019-11-14 21:30,2019-11-14 22:30,DK1,180
2019-11-14 21:25,2019-11-14 22:25,DK1,180
2019-11-14 21:25,2019-11-14 22:25,DK2,180
2019-11-14 21:20,2019-11-14 22:20,DK1,180
2019-11-14 21:20,2019-11-14 22:20,DK2,180
2019-11-14 21:15,2019-11-14 22:15,DK1,180
2019-11-14 21:15,2019-11-14 22:15,DK2,180
