GasDay,KWhFromBiogas,KWhToDenmark,KWhFromNorthSea,KWhToOrFromStorage,KWhToOrFromGermany,KWhToSweden
2019-10-31 00:00,9012104,-108468014,3240000,-15443998,145566188,-26124070
2019-10-30 00:00,9029286,-111441395,3240000,24733137,120444344,-27652003
2019-10-29 00:00,8814185,-115675005,3360000,-923632,95652672,-25805116
2019-10-28 00:00,8737451,-94945478,4320000,-1657475,101237164,-22698975
2019-10-27 00:00,9019483,-71645613,3720000,-15774463,85765704,-18555320
2019-10-26 00:00,9365142,-62098410,3420000,-18647722,83853125,-17861813
2019-10-25 00:00,9004884,-75838027,3840000,1919280,81636600,-19596329
2019-10-24 00:00,8667909,-79088415,3840000,10873478,85420872,-21346373
2019-10-23 00:00,8865505,-88403397,3720000,9115175,86585020,-22238416
2019-10-22 00:00,8630670,-85382323,3960000,1570425,82819832,-20464538
2019-10-21 00:00,8747320,-86796653,4200000,3572755,88617656,-22896979
2019-10-20 00:00,8826589,-66460874,4200000,-11554042,78441744,-22185656
2019-10-19 00:00,9022160,-61853857,3360000,-12947022,78363232,-20979356
2019-10-18 00:00,8787150,-69350263,4200000,-3955555,92972698,-24444731
2019-10-17 00:00,9012218,-84160788,4080000,-1757839,96915888,-25636270
2019-10-16 00:00,8848770,-88771136,4440000,7814333,88107776,-25281912
2019-10-15 00:00,8984871,-100745605,4200000,-670699,90219456,-25742281
2019-10-14 00:00,8818467,-89913281,4800000,2570619,88138800,-25321814
2019-10-13 00:00,8629799,-66314630,4080000,-26232000,87536856,-20787367
2019-10-12 00:00,8694675,-59072716,4080000,-24093278,86552800,-20113520
2019-10-11 00:00,8749178,-67659335,5040000,-4417210,79229750,-21137734
2019-10-10 00:00,8344742,-74998447,5160000,-8947632,95414156,-22505700
2019-10-09 00:00,8630324,-81486377,5640000,-21318698,117654746,-22609392
2019-10-08 00:00,8564935,-90217296,5640000,-6414504,116831512,-22657320
2019-10-07 00:00,8424721,-109440045,5640000,12596982,114871622,-25705272
2019-10-06 00:00,8717534,-87850604,5424000,-10457707,107368456,-25198191
2019-10-05 00:00,8908417,-81985968,5400000,-20400750,108464736,-22637891
2019-10-04 00:00,8859472,-87897616,5120000,13836853,92838628,-23507220
2019-10-03 00:00,8746056,-86203534,4320000,-714512,88528408,-24836937
