HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2019-11-14 22:00,2019-11-14 23:00,SYSTEM,303.52,40.62
2019-11-14 21:00,2019-11-14 22:00,SYSTEM,305.76,40.92
2019-11-14 20:00,2019-11-14 21:00,SYSTEM,314.05,42.03
2019-11-14 19:00,2019-11-14 20:00,SYSTEM,318.69,42.65
2019-11-14 18:00,2019-11-14 19:00,SYSTEM,332.06,44.44
2019-11-14 17:00,2019-11-14 18:00,SYSTEM,357.47,47.84
2019-11-14 16:00,2019-11-14 17:00,SYSTEM,387.05,51.8
2019-11-14 15:00,2019-11-14 16:00,SYSTEM,375.25,50.22
2019-11-14 14:00,2019-11-14 15:00,SYSTEM,369.94,49.51
2019-11-14 13:00,2019-11-14 14:00,SYSTEM,367.03,49.12
2019-11-14 12:00,2019-11-14 13:00,SYSTEM,361.57,48.39
2019-11-14 11:00,2019-11-14 12:00,SYSTEM,353.28,47.28
2019-11-14 10:00,2019-11-14 11:00,SYSTEM,346.71,46.4
2019-11-14 09:00,2019-11-14 10:00,SYSTEM,346.33,46.35
2019-11-14 08:00,2019-11-14 09:00,SYSTEM,357.61,47.86
2019-11-14 07:00,2019-11-14 08:00,SYSTEM,371.66,49.74
2019-11-14 06:00,2019-11-14 07:00,SYSTEM,365.39,48.9
2019-11-14 05:00,2019-11-14 06:00,SYSTEM,326.68,43.72
2019-11-14 04:00,2019-11-14 05:00,SYSTEM,307.78,41.19
2019-11-14 03:00,2019-11-14 04:00,SYSTEM,300.23,40.18
2019-11-14 02:00,2019-11-14 03:00,SYSTEM,296.27,39.65
2019-11-14 01:00,2019-11-14 02:00,SYSTEM,295.3,39.52
2019-11-14 00:00,2019-11-14 01:00,SYSTEM,297.84,39.86
2019-11-13 23:00,2019-11-14 00:00,SYSTEM,300.3,40.19
